row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
134,MA298,Interspecific,host-symbiont,JK,Rapid viral symbiogenesis via changes in parasitoid wasp genome architecture,"Burke, G.R. and Simmonds, T.J. and Sharanowski, B.J. and Geib, S.M.",Molecular Biology and Evolution,35,10,2463-2474,2018,10.1093/molbev/msy148,,,,,,
135,MA299,Interspecific,host-symbiont,JK,"Rates of parasitism, but not allocation of egg resources, vary among and within hosts of a generalist avian brood parasite","Merrill, L. and Chiavacci, S.J. and Paitz, R.T. and Benson, T.J.",Oecologia,184,2,399-410,2017,10.1007/s00442-017-3870-z,,,,,,
179,MA393,Interspecific,plant-animal,JK,Trait-Based Modeling of Multihost Pathogen Transmission: Plant-Pollinator Networks,"Truitt, Lauren L. and McArt, Scott H. and Vaughn, Andrew H. and Ellner, Stephen P.",AMERICAN NATURALIST,193,6,E149-E167,2019,10.1086/702959,,,,,,
7,MA11,Intraspecific,competition-cooperation,JW,Age-dependent change of coalitionary strategy in male Barbary macaques,"Rathke, E.-M. and Berghnel, A. and Bissonnette, A. and Ostner, J. and Schlke, O.",Primate Biology,4,1,01-Jul,2017,10.5194/pb-4-1-2017,,,,,,
48,MA103,Intraspecific,competition-cooperation,JW,Does soil type drive social organization in southern hairy-nosed wombats?,"Walker, Faith M. and Taylor, Andrea C. and Sunnucks, Paul",MOLECULAR ECOLOGY,16,1,199-208,2007,10.1111/j.1365-294X.2006.03131.x,,,,,,
58,MA120,Intraspecific,competition-cooperation,JW,Endocrinology of sociality: Comparisons between sociable and solitary individuals within the same population of African striped mice,"Schoepf, Ivana and Schradin, Carsten",HORMONES AND BEHAVIOR,64,1,89-94,2013,10.1016/j.yhbeh.2013.04.011,,,,,,
63,MA128,Intraspecific,competition-cooperation,JW,Evolution of intra-ejaculate sperm interactions: Do sperm cooperate?,"Higginson, D.M. and Pitnick, S.",Biological Reviews,86,1,249-270,2011,10.1111/j.1469-185X.2010.00147.x,,,,,,
68,MA143,Interspecific,host-symbiont,JW,Feather mite abundance varies but symbiotic nature of mite-host relationship does not differ between two ecologically dissimilar warblers,"Matthews, A.E. and Larkin, J.L. and Raybuck, D.W. and Slevin, M.C. and Stoleson, S.H. and Boves, T.J.",Ecology and Evolution,8,2,1227-1238,2018,10.1002/ece3.3738,,,,,,
72,MA157,Interspecific,host-symbiont,JW,From pattern to process: Species and functional diversity in fungal endophytes of Abies beshanzuensis,"Yuan, Z.-L. and Rao, L.-B. and Chen, Y.-C. and Zhang, C.-L. and Wu, Y.-G.",Fungal Biology,115,3,197-213,2011,10.1016/j.funbio.2010.11.002,,,,,,
88,MA198,Intraspecific,male-female,JW,Individual contributions to territory defence in a cooperative breeder: weighing up the benefits and costs,"Mares, Rafael and Young, Andrew J. and Clutton-Brock, Tim H.",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,279,1744,3989-3995,2012,10.1098/rspb.2012.1071,,,,,,
